Date,Content,Comment
2025-01-27,https://boxd.it/5Y5nnd,Well Said 💯👏🏻
2025-02-11,https://boxd.it/8L0mdt,I do love this film and I agree with you. But I really wanna say that you don't need to bash another film just to praise this film. You could have just praised this film directly.
2025-02-12,https://boxd.it/8L0mdt,"Ohh I see, the mistake is in my side. I read it in a totally different tone ig. 👍🏻👍🏻"
2025-02-27,https://boxd.it/8VAQ9X,Hehe thanks for the compliments 😉
2025-05-05,https://boxd.it/9Bi34L,"For real 😭😭 
Andha kodumai ah vera nyabagam paduthiye na... Manasellam ore pun ah iruku 🤧.
Naanum vera vazhi illama pathen, but oru alavuku mela mudila nu padhi laye tv ah off panniten 🫠"
2025-05-05,https://boxd.it/9Bi34L,Veetla periyavanga la mostly indha channel eh paathu pazhagitanga... Idha vita vera engeyum poga matanga nu dhairiyathula podurainga
2025-05-05,https://boxd.it/9Bi34L,"Indha maari kuppa padam poduradhuku bathil ah... Naan la chinna vayasula irukum podhu Hollywood times nu english padam la tamil dub panni poduvanga. 
Idha poduradhuku bathil andha maari pota kuda paravala nalla irukum."
2025-05-05,https://boxd.it/9Bi34L,Ivanunga podura padatha paakuradhuku bathil youtube open panni edhavadhu nalla pazhaya padam paathutu poiralam.
2025-05-05,https://boxd.it/9Bi34L,Naan last 3 weeks ah ipdi dhaan pannitu iruken 😌
2025-07-11,https://boxd.it/agVMe9,"Hey hi, i remembered reading your review on Meiyazhagan and your view on nostalgic memories. 
I recently rewatched a film ""Cinema Paradiso"", which hit me with a purely imaginary nostalgic memories. So I thought I must recommend this film to you to be watched with your dad and have conversations with him. I'm pretty sure that he will definitely like this film. So if you had some free time, give this film a try."
2025-08-03,https://boxd.it/aAutaD,இனிய பிறந்தநாள் வாழ்த்துகள்
2025-09-14,https://boxd.it/4OOKov,I just can't agree more than this with anyone!!! Perfectly expressed review bro ‼️
2025-10-01,https://boxd.it/bepNmf,"Absolutely, PERIOD 💯‼️"
2025-10-05,https://boxd.it/bg9HNb,"I guess <b>""Pannaiyarum Padminiyum""</b> was an exception !!"
2025-10-14,https://boxd.it/b99QGP,<b>This is Not A FUCKING GAMBLING!!!</b>
2025-10-18,https://boxd.it/boyk5H,I was wondering Where the hell did Sivakarthikeyan come🙄!? <b>(Confused TR template)</b> Until I recognised it refers to Sarathkumar 😭😭
2025-10-23,https://boxd.it/aO9V8J,"Naan manasula nenachadha apdiye sollitinga naa 😭🙏🏻

<b>Amrita Rao in that song 😮‍💨 😭 🛐 </b>"
2025-10-23,https://boxd.it/aO9V8J,For Realll 💯‼️
2025-10-26,https://boxd.it/buCztr,"""Kaakha kaakha"" the perfect watch to fall for the Suriya-Jo pair ✨"
