Date,Content,Comment
2025-08-17,https://boxd.it/aIDv6N,Even annathe gave less disappointment.
2025-08-17,https://boxd.it/aJ57YH,Such a pain in the butt.
2025-08-20,https://boxd.it/aNDjHH,Give a try for <b>Kaatrin Mozhi. </b>A tamil film directed by radha mohan. (If you already watched that film it's okay).
2025-08-26,https://boxd.it/aNDjHH,Suree. Umm can I get a film recommendation from you apart from this !?
2025-09-05,https://boxd.it/aYx86H,"I don't think so, but I like your comment 🤣👌. May be it might help me for a meme."
2025-09-19,https://boxd.it/aL74Gx,Try the OG film “<b>Thee</b>” by rajnikanth!! 👌
2025-09-21,https://boxd.it/b3u7g1,Be ready for iguro obanai and mitsuri! 🥲🙏
2025-10-03,https://boxd.it/9t1vPJ,If you are a fan of David Fincher work try watching Gone girl! 💥✋
2025-10-07,https://boxd.it/9t1vPJ,Yeahh definitely try it brilliant work by Fincher...
2025-10-07,https://boxd.it/9t1vPJ,"That's on my watchlist, will be watching that before next week and fs I'll Let uk !!"
2025-10-08,https://boxd.it/9t1vPJ,How about you watch gone girl and I watch benjamin on the same day and at the end of the day we can discuss!!! Is that okay for you ?
2025-10-12,https://boxd.it/9t1vPJ,"Right , tomorrow I'm gonna watch it and let me know after you watched gone girl, we will discuss. Also could you choose the place to discuss like instagram or whatsapp, only if u are okay with it !? :))"
2025-10-13,https://boxd.it/9t1vPJ,"Np you can watch and tell, btw I watched the film Benjamin button and it was awesome."
2025-10-13,https://boxd.it/9t1vPJ,You are a minor ? What's that suppose to mean u don't have any social media ? 🤣😭
2025-10-14,https://boxd.it/b99QGP,Not exactly they used swaps to attain the profit so if CDO develops they will be profited turns out it destroyed the whole citizen
2025-10-14,https://boxd.it/bmiv4Z,Bro they bet to every swaps with one another person which is technically a gambling that's why they focus on swaps to attain the higher level of CDO.
2025-10-15,https://boxd.it/9t1vPJ,Lol tbh school students have more tough times than us it's totally shii
2025-10-15,https://boxd.it/9t1vPJ,Try to watch gone girl and this weekend you will have holidays for diwali right!?
